File Name,Name,ID,Version,Mod Loader,URL,Authors,Logo Path,Display Name,Abbr,Mcmod,Subname,Curseforge,Status,File Path,File SHA-1
rftoolspower-1.20-6.0.2.jar.disabled,RFToolsPower,rftoolspower,1.20-6.0.2,FORGE,,,,RF工具：能量 (RFTools Power),,3531,RFTools Power,rftools-power,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolspower-1.20-6.0.2.jar.disabled,928e3528e941383c29574a17f8acef7a8110fe0c
rftoolsstorage-1.20-5.0.3.jar.disabled,RFToolsStorage,rftoolsstorage,1.20-5.0.3,FORGE,,,,RF工具：存储 (RFTools Storage),,4560,RFTools Storage,rftools-storage,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolsstorage-1.20-5.0.3.jar.disabled,d0d93b857720a4f5165ae0c6c9c37b6cbad4a631
rftoolsutility-1.20-6.0.6.jar.disabled,RFToolsUtility,rftoolsutility,1.20-6.0.6,FORGE,,,,RF工具：实用设备 (RFTools Utility),,3849,RFTools Utility,rftools-utility,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolsutility-1.20-6.0.6.jar.disabled,b5691e6cfec16a6ef8a7cfd195636f99419e1b61
rhino-forge-2001.2.2-build.18.jar.disabled,Rhino,rhino,2001.2.2-build.18,FORGE,,"LatvianModder, Mozilla",,犀牛 (Rhino),,3821,Rhino,rhino,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rhino-forge-2001.2.2-build.18.jar.disabled,0a631b4e8235a777d08bd53d4f49dba388205cad
RSInfinityBooster-1.20.1-1.0+32.jar.disabled,RSInfinityBooster,rsinfinitybooster,1.20.1-1.0+32,FORGE,,,,RS无限范围增幅卡 (RSInfinityBooster),,3782,RSInfinityBooster,rsinfinitybooster,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/RSInfinityBooster-1.20.1-1.0+32.jar.disabled,c9906fb00b0c2402bb51122999c9f488948d254f
rsinsertexportupgrade-1.20.1-1.4.0.jar.disabled,RS Insert Export Upgrade,rsinsertexportupgrade,1.20.1-1.4.0,FORGE,https://www.curseforge.com/minecraft/mc-mods/rs-insert-export-upgrade,Ultramega,,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rsinsertexportupgrade-1.20.1-1.4.0.jar.disabled,0aab43f4baba08f36a2705fd2d9fefda65474306
rsrequestify-1.20.1-2.3.3.jar.disabled,RefinedStorageRequestify,refinedstoragerequestify,${version},FORGE,,Buuz135,,[RSR] 精致存储：请求者 (Refined Storage: Requestify),RSR,1838,Refined Storage: Requestify,rs-requestify,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rsrequestify-1.20.1-2.3.3.jar.disabled,37366658f7e22f061f9adae8675f518512d15858
Runelic-Forge-1.20.1-18.0.2.jar.disabled,Runelic,runelic,18.0.2,FORGE,https://www.curseforge.com/minecraft/mc-mods/runelic,Darkhax,,Runelic,,6195,,runelic,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Runelic-Forge-1.20.1-18.0.2.jar.disabled,3b8cc4657cf9f0e321834b1726e358b58a1ea3c4
ScalableCatsForce-3.3.1-build-0-with-library.jar.disabled,ScalableCatsForce-3.3.1-build-0-with-library.jar,ScalableCatsForce-3.3.1-build-0-with-library.jar,,PACK,,,,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/ScalableCatsForce-3.3.1-build-0-with-library.jar.disabled,28154aba31d9165b801aa7800aa758263a23e48f
Searchables-forge-1.20.1-1.0.3.jar.disabled,Searchables,searchables,1.0.3,FORGE,https://minecraft.curseforge.com/projects/searchables,Jaredlll08,,Searchables,,11102,,searchables,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Searchables-forge-1.20.1-1.0.3.jar.disabled,ed5a23ec30c90fd06b3f1d8140614028e1fafaee
serverconfigupdater-4.0.2.jar.disabled,ServerConfig Updater,serverconfigupdater,4.0.2,FORGE,,Darkere,,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/serverconfigupdater-4.0.2.jar.disabled,0c54df6e2916e6bd0743e5650df303cdedff885b
shetiphiancore-forge-1.20.1-1.3.jar.disabled,ShetiPhian-Core,shetiphiancore,1.20.1-1.3,FORGE,https://shetiphian.carrd.co,"ShetiPhian, Artwork: Fruzstrated",,[SC] ShetiPhianCore,SC,789,,shetiphiancore,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/shetiphiancore-forge-1.20.1-1.3.jar.disabled,f85c798bdf38c27b1d81cab025f0985e18a1d591
Shrink-1.20.1-1.4.5.jar.disabled,Shrink,shrink,1.4.5,FORGE,,,,Shrink,,6162,,shrink_,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Shrink-1.20.1-1.4.5.jar.disabled,f14fb093062f193d758cd90acffae0ce1c461dc2
silent-gear-1.20.1-3.6.5.jar.disabled,Silent Gear,silentgear,3.6.5,FORGE,,,logo.png,[SGear] 寂静装备 (Silent Gear),SGear,2791,Silent Gear,silent-gear,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/silent-gear-1.20.1-3.6.5.jar.disabled,3f74485c78ccf4bf5e252cc6256fce509144d009
silent-lib-1.20.1-8.0.0.jar.disabled,Silent Lib,silentlib,8.0.0,FORGE,,,,Silent Lib,,1363,,silent-lib,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/silent-lib-1.20.1-8.0.0.jar.disabled,6614c90b3d5b64eaa5509921ee861827c37b9bca
SimpleBackups-1.20.1-3.1.6.jar.disabled,Simple Backups,simplebackups,1.20.1-3.1.6,FORGE,https://www.curseforge.com/members/melanx/,MelanX,,简单备份 (Simple Backups),,12986,Simple Backups,simple-backups,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/SimpleBackups-1.20.1-3.1.6.jar.disabled,a06eec0400d546640e4634bcd7b29afd3f4d9ddf
simplemagnets-1.1.11-forge-mc1.20.jar.disabled,Simple Magnets,simplemagnets,1.1.11,FORGE,https://www.curseforge.com/minecraft/mc-mods/simple-magnets,SuperMartijn642,,简易磁铁 (Simple Magnets),,5819,Simple Magnets,simple-magnets,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/simplemagnets-1.1.11-forge-mc1.20.jar.disabled,c4c3b3fd4b9e5450618665609a91e3c304a8abdb
simplylight-1.20.1-1.4.6-build.50.jar.disabled,Simply Light,simplylight,1.20.1-1.4.6-build.50,FORGE,,Flanks255,,更好的灯 (Simply Light),,2318,Simply Light,simply-light,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/simplylight-1.20.1-1.4.6-build.50.jar.disabled,cfd851ffd2c3b451a96a19207dc6e084c1dfec73
sliceanddice-forge-3.2.1.jar.disabled,Create Slice & Dice,sliceanddice,3.2.1,FORGE,,possible_triangle,,Create Slice & Dice,,7328,,slice-and-dice,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/sliceanddice-forge-3.2.1.jar.disabled,7a994acbc0dc2ae424078aab6ad7824142e82f69
SmartBrainLib-forge-1.20.1-1.14.2.jar.disabled,SmartBrainLib,smartbrainlib,1.14.2,FORGE,,Tslat,,[SBL] SmartBrainLib,SBL,7291,,smartbrainlib,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/SmartBrainLib-forge-1.20.1-1.14.2.jar.disabled,c62c9f69029146608b31c37431f7607131b380e5
solcarrot-1.20.1-1.15.1.jar.disabled,Spice of Life: Carrot Edition,solcarrot,1.15.1,FORGE,,,logo 160.png,生活调味料：胡萝卜版 (Spice of Life: Carrot Edition),,1836,Spice of Life: Carrot Edition,spice-of-life-carrot-edition,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/solcarrot-1.20.1-1.15.1.jar.disabled,f7fa1fd0c633b10f98d7f0f97766b95aac1a2dc0
sophisticatedbackpacks-1.20.1-3.20.5.1044.jar.disabled,Sophisticated Backpacks,sophisticatedbackpacks,3.20.5.1044,FORGE,,,logo.png,精致背包（非官方 Fabric 分支） (Sophisticated Backpacks (Unofficial Fabric port)),,13969,Sophisticated Backpacks (Unofficial Fabric port),sophisticated-backpacks-unofficial-fabric-port,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/sophisticatedbackpacks-1.20.1-3.20.5.1044.jar.disabled,82e97629d2383d87d65f6684c6270c438f95156b
sophisticatedcore-1.20.1-0.6.22.611.jar.disabled,Sophisticated Core,sophisticatedcore,0.6.22.611,FORGE,,,logo.png,精妙核心（非官方 Fabric 移植） (Sophisticated Core (Unofficial Fabric port)),,13968,Sophisticated Core (Unofficial Fabric port),sophisticated-core-unofficial-fabric-port,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/sophisticatedcore-1.20.1-0.6.22.611.jar.disabled,f2f9639f50d04fa4f6ae7a2e972428f40a8f80d4
sophisticatedstorage-1.20.1-0.10.25.804.jar.disabled,Sophisticated Storage,sophisticatedstorage,0.10.25.804,FORGE,,,logo.png,精妙存储（非官方 Fabric 分支） (Sophisticated Storage (Unofficial Fabric port)),,13973,Sophisticated Storage (Unofficial Fabric port),sophisticated-storage-unofficial-fabric-port,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/sophisticatedstorage-1.20.1-0.10.25.804.jar.disabled,0210b01407e1e9d43c0d706619c5448af0aa76bb
spark-1.10.53-forge.jar.disabled,spark,spark,1.10.53,FORGE,,,,火花 (spark),,4073,spark,spark,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/spark-1.10.53-forge.jar.disabled,231fb325368c0660954f47bfb03493f5246fa4d1
sparsestructuresreforged-1.20.1-1.0.0.jar.disabled,SparseStructuresReforged,sparsestructuresreforged,1.20.1-1.0.0,FORGE,,TeamPotato,,Sparse Structures Reforged,,12779,,ssr,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/sparsestructuresreforged-1.20.1-1.0.0.jar.disabled,6ab89bc3ddcb6056b341ca89138d8753d5416d14
Stargate Journey-1.20.1-0.6.27.jar.disabled,Stargate Journey,sgjourney,0.6.27,FORGE,,Woldericz_Junior,,Stargate Journey,,10418,,stargate-journey,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Stargate Journey-1.20.1-0.6.27.jar.disabled,6e741d35fbd56886ff7616e2d0999174562281a1
Steam_Rails-1.6.4+forge-mc1.20.1.jar.disabled,Create: Steam 'n' Rails,railways,1.6.4+forge-mc1.20.1,FORGE,,The Railways Team,,[SnR] 机械动力：汽鸣铁道 (Create: Steam 'n Rails),SnR,8230,Create: Steam 'n Rails,create-steam-n-rails,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Steam_Rails-1.6.4+forge-mc1.20.1.jar.disabled,1fa6261d8bcde2feb200886e2ff6cfcbbdb53e17
Structory_1.20.x_v1.3.5.jar.disabled,Structory,structory,1.3.5,FORGE,https://www.stardustlabs.net/,Stardust Labs,,Structory,,6793,,structory,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Structory_1.20.x_v1.3.5.jar.disabled,88c1d90ac79c98a50e3e4bd3a93c70431c716dd5
structure_gel-1.20.1-2.16.2.jar.disabled,Structure Gel API,structure_gel,2.16.2,FORGE,https://moddinglegacy.com/,"Silver_David, KingPhygieBoo, Jonathing",,Structure Gel API,,3033,,structure-gel-api,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/structure_gel-1.20.1-2.16.2.jar.disabled,ec8c59d2a69eca3249a8da673f572b40b6d59895
